Age,Sex,Weight  in lbs,Height in Inch,IQ,Units of alcohol per day,Cigarettes per day,Marital Status,Additional People in household,Salary,Active,Health Score (high is good)
45,Female,139,65,101,0,0,Divorced,2,54693,Active,205
22,Female,102,67,112,2,0,Married,4,24972,Active,381
76,Female,112,70,98,1,0,Single,0,24999,Active,170
61,Female,115,66,98,0,0,Single,0,53641,Active,176
45,Female,139,66,104,0,0,Widowed,1,52747,Inactive,148
54,Male,142,70,110,0,0,Cohabiting,4,55149,Very Active,175
52,Male,185,70,102,0,0,Married,4,56538,Active,140
33,Male,160,72,106,0,25,Widowed,1,55626,Very Active,163
64,Male,168,70,115,0,37,Divorced,0,56384,Inactive,80
38,Female,121,65,98,1,0,Cohabiting,3,53672,Active,266
49,Male,162,73,105,2,0,Single,0,54041,Very Active,166
33,Female,125,64,97,2,17,Married,4,56089,Very Active,239
36,Female,110,64,100,0,19,Single,0,54657,Very Active,244
59,Male,165,76,90,0,0,Divorced,0,54993,Active,139
67,Female,136,60,112,3,0,Married,3,25083,Inactive,121
24,Female,124,73,99,1,0,Cohabiting,1,24916,Inactive,189
64,Female,128,69,116,0,0,Married,2,55404,Inactive,121
33,Female,107,66,94,2,0,Cohabiting,1,51981,Active,258
44,Male,180,72,90,0,0,Married,1,56385,Active,161
52,Male,157,71,99,3,0,Divorced,0,52641,Very Active,151
36,Female,129,66,101,0,0,Cohabiting,3,54933,Inactive,176
36,Female,156,63,95,1,29,Single,0,54293,Active,148
61,Male,175,71,118,0,31,Divorced,0,56051,Inactive,77
42,Female,111,64,108,2,0,Married,4,53663,Inactive,123
48,Male,174,70,99,0,0,Cohabiting,4,57015,Inactive,110
25,Male,181,71,101,1,0,Single,3,56680,Inactive,184
29,Female,125,67,91,0,0,Single,2,55192,Active,288
80,Male,151,74,107,0,0,Divorced,1,25094,Active,121
70,Male,142,72,85,1,2,Widowed,0,25039,Inactive,84
32,Female,119,66,103,1,0,Widowed,3,55487,Inactive,226
18,Male,181,77,101,1,0,Single,3,25035,Very Active,299
67,Female,105,70,102,0,0,Single,2,25093,Active,171
55,Female,104,65,86,2,4,Divorced,2,52716,Very Active,224
79,Female,122,65,96,1,8,Divorced,3,25116,Active,128
53,Female,109,68,106,0,0,Cohabiting,2,57281,Inactive,115
72,Male,152,69,93,0,0,Married,4,24883,Active,127
67,Female,116,63,89,2,0,Married,1,24920,Inactive,131
53,Female,117,66,96,1,0,Widowed,0,53874,Very Active,244
21,Male,150,74,100,2,0,Widowed,2,24798,Inactive,166
43,Female,119,64,100,0,31,Widowed,3,53635,Very Active,191
51,Male,173,77,107,0,0,Cohabiting,1,54309,Inactive,112
19,Female,135,66,103,2,0,Married,1,25065,Active,357
31,Male,145,72,104,1,0,Married,4,54079,Inactive,146
33,Female,134,66,91,1,0,Married,3,55264,Active,247
38,Female,114,67,83,2,0,Widowed,1,56292,Very Active,301
74,Female,111,64,113,0,0,Widowed,3,24879,Inactive,107
18,Female,106,62,103,1,0,Cohabiting,1,25101,Active,406
65,Male,164,75,109,3,0,Widowed,1,55262,Active,113
56,Female,121,66,94,0,0,Widowed,0,59012,Very Active,238
29,Female,106,68,102,0,7,Widowed,2,54599,Active,307
52,Female,167,61,94,2,0,Married,1,55346,Inactive,114
32,Female,116,63,105,2,0,Married,1,55415,Inactive,212
57,Female,116,68,100,0,33,Married,1,54836,Active,149
46,Female,120,70,109,1,0,Married,1,56359,Inactive,123
48,Female,145,69,93,2,37,Cohabiting,2,53654,Inactive,109
66,Female,140,71,93,0,16,Widowed,3,24960,Inactive,79
37,Female,128,66,100,1,0,Cohabiting,4,55006,Inactive,201
24,Female,137,62,101,0,0,Married,1,24912,Active,285
47,Female,129,67,96,1,0,Married,2,54604,Active,202
31,Male,184,70,100,2,0,Cohabiting,4,53627,Active,183
43,Female,139,63,98,0,0,Single,0,54994,Inactive,118
50,Female,112,66,102,1,0,Divorced,3,55350,Active,200
59,Male,164,69,108,1,0,Divorced,2,54092,Active,126
79,Male,167,74,100,0,0,Cohabiting,4,25060,Inactive,100
33,Female,111,67,105,2,0,Single,1,56119,Very Active,331
48,Male,185,74,100,3,0,Widowed,0,56432,Inactive,107
50,Female,141,65,107,3,0,Divorced,1,55305,Inactive,151
58,Male,139,70,107,1,3,Divorced,2,55301,Very Active,153
65,Female,84,65,102,4,0,Cohabiting,4,52966,Very Active,207
62,Male,181,74,100,2,14,Single,0,56612,Very Active,121
34,Female,123,63,95,2,7,Cohabiting,2,55700,Active,210
32,Female,130,69,109,2,0,Married,2,54428,Active,254
50,Female,120,72,106,1,0,Married,3,54194,Inactive,146
27,Female,136,67,104,0,0,Widowed,2,53700,Inactive,207
63,Male,158,74,106,2,0,Cohabiting,4,54226,Inactive,88
34,Female,127,68,97,0,0,Cohabiting,4,53627,Inactive,188
29,Male,197,73,95,3,0,Divorced,3,56484,Inactive,119
25,Female,146,62,100,0,0,Married,3,55701,Active,271
58,Male,162,73,85,1,0,Single,0,54141,Inactive,120
63,Male,168,70,95,1,27,Widowed,2,56254,Active,93
68,Male,149,69,98,1,14,Widowed,3,24908,Inactive,83
55,Male,179,70,108,3,0,Married,1,53259,Very Active,140
38,Male,180,78,107,3,0,Divorced,3,54863,Inactive,141
60,Female,123,66,101,1,13,Divorced,2,55105,Active,148
67,Female,129,63,93,2,0,Widowed,2,25036,Inactive,107
71,Female,120,65,99,0,0,Cohabiting,3,25004,Active,154
68,Female,135,66,100,2,0,Cohabiting,2,24994,Active,149
43,Male,162,65,97,1,0,Divorced,3,55537,Active,149
80,Female,122,69,95,1,0,Single,3,25159,Active,160
76,Male,165,76,92,2,0,Married,2,25102,Inactive,86
45,Female,119,62,97,0,0,Divorced,3,52907,Inactive,120
50,Female,145,68,96,2,0,Married,4,55889,Active,184
32,Male,167,73,94,0,0,Widowed,1,55698,Inactive,167
43,Male,161,72,94,0,0,Married,1,54058,Inactive,139
80,Male,175,71,96,2,0,Divorced,2,24869,Active,98
79,Female,136,66,112,1,0,Cohabiting,2,25110,Inactive,78
34,Female,91,65,103,0,0,Married,2,53917,Inactive,163
24,Female,120,64,99,2,0,Married,1,25015,Active,288
67,Female,131,71,98,2,0,Married,4,25070,Very Active,202
25,Female,127,68,94,1,0,Married,1,54541,Active,302
73,Male,148,66,102,3,0,Widowed,1,25114,Inactive,92
28,Male,161,75,101,0,0,Married,3,53131,Very Active,270
26,Female,118,69,97,1,0,Widowed,1,56374,Inactive,264
44,Female,131,64,89,0,0,Married,2,55345,Inactive,181
24,Female,128,62,91,0,11,Cohabiting,1,25002,Inactive,171
29,Male,169,73,97,1,0,Married,3,55299,Active,199
40,Male,193,73,100,0,0,Single,3,57343,Active,183
26,Male,192,73,84,3,0,Married,1,56096,Inactive,142
63,Female,139,66,103,0,3,Single,1,55781,Inactive,113
42,Male,186,67,97,2,0,Married,4,54155,Active,139
38,Male,177,66,94,4,0,Married,1,54338,Inactive,109
58,Female,133,67,107,2,0,Cohabiting,1,54735,Inactive,145
76,Female,138,67,103,1,0,Married,3,25115,Inactive,120
35,Female,123,70,104,0,0,Married,4,53218,Active,266
69,Male,165,70,103,2,0,Divorced,0,25009,Very Active,129
69,Female,132,61,102,0,0,Widowed,2,25100,Inactive,106
64,Male,142,71,103,0,0,Cohabiting,1,53959,Very Active,155
19,Male,212,70,102,2,0,Divorced,2,25051,Inactive,139
50,Female,117,62,96,0,0,Divorced,3,56024,Active,224
50,Female,95,62,104,1,0,Married,3,56005,Active,202
78,Male,175,71,105,0,0,Married,2,25102,Inactive,78
56,Male,171,70,97,0,0,Widowed,2,53948,Inactive,99
80,Male,181,67,96,0,0,Married,3,24923,Active,111
29,Male,163,70,90,3,0,Cohabiting,2,55566,Active,171
69,Male,186,72,91,2,0,Divorced,1,25185,Active,108
44,Female,104,67,97,0,0,Married,3,56132,Inactive,133
52,Male,169,70,100,0,0,Single,3,55496,Active,157
66,Male,182,70,93,2,39,Married,1,25163,Inactive,65
26,Female,107,66,99,2,0,Married,3,54332,Active,338
62,Female,115,65,99,0,38,Married,2,55809,Very Active,151
18,Male,149,71,91,1,0,Widowed,2,25095,Inactive,187
42,Female,134,68,101,2,0,Married,4,55117,Active,211
30,Female,136,67,93,0,2,Married,4,55065,Very Active,338
47,Female,131,63,112,0,0,Single,0,54556,Very Active,256
47,Male,162,76,96,1,0,Cohabiting,2,53579,Inactive,127
79,Male,186,70,93,0,0,Married,4,25030,Inactive,95
48,Male,161,66,89,1,0,Single,3,55804,Inactive,103
44,Female,140,65,99,0,0,Cohabiting,3,53790,Inactive,178
68,Male,174,67,108,2,0,Divorced,3,24955,Very Active,126
30,Female,122,69,107,0,0,Divorced,2,55368,Inactive,250
40,Female,119,67,96,0,0,Widowed,0,54535,Active,273
44,Female,129,62,96,1,10,Married,2,54678,Active,201
39,Male,175,70,101,1,0,Married,2,54002,Inactive,117
20,Male,187,73,97,0,0,Widowed,1,24960,Inactive,201
69,Female,118,65,102,0,0,Cohabiting,1,24854,Inactive,113
63,Female,115,67,99,2,35,Married,4,57118,Very Active,150
31,Male,149,69,103,0,0,Widowed,2,55205,Inactive,189
57,Female,120,70,96,0,0,Cohabiting,3,55045,Active,189
21,Male,176,72,105,1,0,Widowed,2,25013,Inactive,164
21,Female,125,68,95,1,0,Widowed,2,25051,Active,381
32,Female,135,72,96,0,0,Married,2,58727,Inactive,199
78,Male,175,72,105,2,39,Married,3,24729,Active,74
64,Female,124,67,101,1,0,Divorced,0,56239,Inactive,94
77,Male,161,70,97,1,20,Married,3,25151,Very Active,105
78,Female,124,65,97,0,0,Married,4,24859,Very Active,183
73,Male,138,74,103,1,0,Single,2,25160,Inactive,84
36,Female,113,68,97,2,0,Widowed,3,54800,Inactive,175
43,Female,122,64,110,0,0,Married,1,54295,Inactive,188
21,Male,149,78,90,4,0,Married,2,25191,Active,203
28,Male,198,74,95,1,0,Single,3,55275,Inactive,157
44,Male,178,70,100,1,0,Cohabiting,2,56207,Active,163
33,Male,197,69,108,0,0,Widowed,1,56256,Inactive,129
68,Female,125,70,94,0,38,Married,2,24929,Very Active,145
38,Female,134,66,96,1,0,Married,3,55763,Inactive,195
68,Male,164,74,105,3,0,Widowed,3,24982,Inactive,89
42,Female,103,71,100,3,30,Married,1,55093,Inactive,87
18,Male,162,72,96,2,0,Single,2,24959,Very Active,271
28,Male,158,75,106,0,0,Divorced,3,57506,Very Active,272
46,Male,176,74,91,1,0,Married,2,57028,Active,165
32,Male,154,74,97,1,0,Married,1,52519,Very Active,233
49,Female,141,68,103,4,0,Divorced,1,55088,Very Active,229
69,Female,135,72,89,0,0,Married,1,25056,Inactive,92
66,Female,129,69,93,1,0,Married,3,25083,Active,161
74,Female,115,67,102,0,11,Single,1,24962,Inactive,116
78,Female,131,67,107,2,0,Married,1,24886,Active,156
77,Female,110,67,102,0,0,Widowed,1,24911,Active,170
34,Female,128,62,105,1,0,Widowed,1,53323,Inactive,202
76,Male,145,69,96,1,39,Married,1,25210,Active,78
74,Male,135,79,104,0,0,Married,2,24926,Very Active,146
57,Female,128,64,92,3,0,Married,2,54398,Inactive,94
27,Female,136,64,107,1,0,Cohabiting,3,55232,Very Active,344
43,Female,109,65,102,3,0,Single,0,53300,Very Active,268
55,Female,118,65,104,1,0,Married,4,54150,Active,209
66,Male,163,72,102,1,0,Widowed,2,24856,Inactive,87
79,Female,118,61,94,1,0,Cohabiting,1,24963,Very Active,174
78,Female,126,65,100,3,0,Widowed,0,25065,Very Active,171
42,Male,163,74,95,0,0,Divorced,3,54111,Inactive,127
38,Female,131,65,95,2,0,Married,4,54354,Active,219
25,Female,117,67,94,1,0,Divorced,1,53459,Active,353
36,Female,125,65,104,2,0,Married,4,54500,Inactive,132
73,Male,171,75,91,1,0,Married,4,25116,Inactive,91
45,Female,106,62,94,0,0,Widowed,2,54425,Inactive,155
63,Female,123,55,97,1,0,Cohabiting,1,55625,Very Active,192
40,Female,130,60,87,1,23,Married,2,53730,Very Active,199
80,Male,160,70,89,0,35,Divorced,3,24880,Inactive,65
65,Male,180,73,116,0,0,Widowed,3,56328,Active,135
80,Female,124,64,100,0,0,Single,0,24884,Active,158
62,Male,178,73,105,1,36,Divorced,2,54577,Active,88
45,Male,196,71,93,1,12,Married,1,53649,Inactive,91
32,Female,125,72,99,1,0,Married,2,54841,Inactive,196
70,Female,136,63,107,1,0,Married,4,25131,Inactive,125
22,Female,133,65,101,1,0,Married,1,25109,Very Active,390
18,Female,139,64,91,1,0,Cohabiting,1,25030,Active,365
41,Male,188,73,104,0,20,Cohabiting,3,54534,Inactive,105
38,Female,116,67,101,4,26,Divorced,3,56815,Active,155
64,Male,184,72,100,1,0,Single,0,56827,Inactive,108
71,Male,178,68,106,0,0,Married,3,24890,Active,112
57,Male,173,70,99,0,0,Married,3,52475,Inactive,122
36,Female,127,67,105,1,0,Cohabiting,4,55766,Inactive,138
49,Female,123,66,102,0,0,Widowed,1,56292,Active,232
36,Female,144,69,95,0,0,Married,1,54583,Inactive,175
39,Female,128,72,94,0,9,Widowed,0,56744,Active,245
46,Female,134,65,96,3,0,Single,0,56828,Very Active,242
56,Female,119,62,99,0,0,Single,3,54436,Inactive,103
31,Male,177,72,108,0,5,Single,1,56015,Active,183
66,Male,183,75,96,0,0,Single,1,24997,Inactive,113
26,Female,132,74,98,3,0,Married,2,51938,Active,327
61,Male,147,69,81,1,0,Widowed,2,53375,Inactive,92
69,Female,144,66,99,1,0,Divorced,2,25118,Active,149
76,Female,99,67,109,2,0,Married,2,24968,Inactive,105
26,Male,176,74,99,1,0,Married,4,55351,Very Active,247
54,Female,118,63,94,1,0,Widowed,0,53427,Inactive,156
46,Male,166,73,84,1,0,Single,1,54920,Very Active,181
59,Male,181,75,93,0,0,Single,1,54745,Active,147
79,Female,118,66,97,1,4,Divorced,2,25054,Inactive,77
33,Female,144,65,92,3,7,Married,2,54598,Very Active,257
75,Female,127,68,97,1,0,Married,1,24993,Active,145
68,Male,173,70,108,2,0,Cohabiting,4,24903,Inactive,79
34,Male,164,79,106,1,0,Cohabiting,1,53510,Inactive,177
75,Male,163,72,99,0,0,Divorced,0,24860,Inactive,93
76,Female,108,67,105,2,0,Married,2,24828,Inactive,83
71,Male,180,73,101,1,18,Widowed,1,25209,Inactive,69
34,Female,133,64,97,1,20,Married,2,56658,Inactive,127
22,Female,110,63,106,2,0,Married,3,25079,Inactive,220
78,Female,125,69,99,0,0,Widowed,3,25026,Inactive,124
41,Female,128,66,97,0,0,Divorced,3,55853,Active,227
38,Female,139,61,106,2,0,Divorced,3,55593,Very Active,264
49,Female,120,62,106,3,0,Cohabiting,1,54347,Inactive,156
56,Male,160,74,93,0,0,Divorced,2,52615,Inactive,105
61,Male,139,69,101,0,0,Divorced,0,54507,Active,147
33,Male,184,71,97,1,0,Cohabiting,1,54282,Inactive,128
29,Female,142,69,105,0,31,Single,2,55854,Inactive,148
49,Male,191,74,99,1,0,Married,2,54780,Active,142
32,Male,150,73,97,0,0,Married,2,55731,Inactive,174
79,Male,170,74,95,0,37,Married,3,24708,Active,87
40,Male,181,73,95,2,0,Widowed,0,55268,Inactive,139
26,Female,135,67,109,0,19,Divorced,2,57372,Inactive,181
22,Female,146,67,91,0,0,Married,4,24954,Active,312
65,Male,162,76,103,0,0,Married,3,56164,Very Active,153
75,Female,150,68,97,1,0,Married,2,24903,Active,140
70,Male,178,75,98,0,0,Married,1,24980,Very Active,141
72,Male,183,71,98,1,23,Divorced,3,25039,Very Active,104
46,Female,125,64,101,1,0,Married,3,53958,Very Active,259
65,Female,122,66,99,1,0,Divorced,1,56161,Inactive,92
68,Female,137,66,93,1,0,Married,4,24970,Inactive,130
23,Female,125,63,115,1,0,Married,1,24974,Inactive,255
24,Female,153,68,104,2,0,Single,2,24958,Active,312
40,Female,130,68,93,2,0,Married,1,55762,Inactive,157
30,Female,101,70,99,0,0,Married,3,55605,Very Active,405
34,Male,181,71,96,0,5,Divorced,3,57214,Very Active,202
74,Female,132,63,101,0,0,Divorced,2,24824,Active,164
54,Female,148,60,105,2,0,Married,4,56193,Inactive,92
69,Male,170,73,104,1,0,Widowed,0,25060,Inactive,84
34,Female,137,63,98,3,0,Widowed,3,53754,Inactive,156
40,Male,174,72,102,0,27,Cohabiting,2,59532,Inactive,99
73,Male,157,72,96,1,30,Single,1,24972,Active,94
45,Male,162,74,115,1,0,Cohabiting,4,53979,Inactive,115
33,Female,126,66,99,0,21,Married,1,53714,Very Active,242
33,Female,142,65,97,0,0,Widowed,1,57367,Active,283
65,Male,170,66,92,1,11,Married,2,54301,Active,112
40,Female,122,67,101,1,4,Married,3,56434,Inactive,154
49,Female,100,59,97,1,0,Widowed,3,55066,Very Active,253
36,Female,118,66,101,0,0,Married,2,53668,Inactive,145
48,Male,205,73,104,4,0,Married,4,54082,Inactive,88
34,Male,142,72,108,1,16,Married,3,55178,Very Active,177
70,Female,136,63,95,2,40,Widowed,2,24929,Inactive,87
77,Female,127,62,101,2,17,Married,3,24882,Active,132
59,Female,130,68,93,0,0,Married,4,55101,Very Active,229
55,Female,112,69,100,0,0,Married,2,55307,Inactive,112
45,Female,98,64,101,1,0,Married,3,55114,Inactive,188
58,Female,155,66,102,1,0,Cohabiting,4,58347,Inactive,94
52,Male,164,71,97,0,37,Married,4,54584,Inactive,80
64,Male,179,72,95,0,0,Married,2,53455,Active,136
49,Male,218,71,102,1,0,Divorced,0,55476,Inactive,108
72,Female,117,66,102,1,0,Married,3,25017,Inactive,108
54,Female,134,62,96,1,0,Widowed,3,54327,Active,199
41,Female,105,64,95,0,0,Single,1,55996,Inactive,169
20,Female,121,66,97,2,0,Single,2,24965,Inactive,184
34,Female,110,65,109,0,1,Married,4,55452,Inactive,150
43,Female,99,66,104,1,29,Single,3,52336,Inactive,111
32,Male,151,71,105,2,0,Cohabiting,3,54523,Inactive,131
78,Male,171,69,91,0,0,Widowed,2,24990,Inactive,77
26,Female,134,65,89,0,0,Married,2,55329,Inactive,248
60,Female,134,70,92,0,0,Married,1,54341,Inactive,101
27,Female,119,71,97,0,15,Married,4,52687,Inactive,205
27,Female,120,63,99,1,17,Single,0,53612,Active,238
78,Female,130,69,106,1,0,Divorced,0,24829,Active,161
47,Female,123,68,107,2,0,Married,2,57416,Very Active,258
66,Female,149,68,102,1,0,Single,2,25047,Inactive,88
55,Female,130,71,107,1,0,Widowed,2,55039,Active,213
44,Male,187,73,94,0,12,Married,2,55638,Active,136
33,Female,134,65,99,0,0,Married,3,53250,Inactive,145
47,Female,124,69,117,1,0,Cohabiting,1,54497,Active,238
60,Female,150,59,102,0,0,Cohabiting,3,55720,Inactive,111
80,Male,175,75,105,2,0,Married,3,25019,Inactive,91
80,Female,106,70,102,3,0,Married,4,25178,Active,158
50,Male,161,73,89,0,0,Divorced,3,53445,Inactive,140
60,Male,149,76,97,1,0,Married,1,56479,Inactive,97
30,Female,99,69,101,0,30,Divorced,3,55269,Inactive,107
61,Female,116,70,99,0,29,Cohabiting,2,53674,Inactive,75
65,Male,168,77,109,2,0,Cohabiting,3,53676,Inactive,86
25,Male,166,69,109,0,0,Married,4,55425,Active,222
79,Female,124,63,104,0,0,Widowed,0,25218,Active,139
52,Male,151,71,103,1,0,Married,3,52942,Active,143
21,Female,114,65,97,3,0,Married,3,24978,Inactive,174
66,Female,132,63,99,2,0,Widowed,1,25201,Inactive,129
63,Female,129,63,90,0,0,Divorced,3,53396,Inactive,140
73,Female,125,63,103,4,0,Single,2,24960,Active,136
74,Female,148,64,103,0,0,Married,4,24879,Inactive,121
69,Male,186,69,101,0,0,Married,1,24909,Inactive,93
50,Female,140,72,97,0,0,Divorced,3,57228,Active,203
50,Female,108,65,101,1,0,Married,1,53052,Inactive,172
67,Female,106,70,99,0,0,Single,2,24932,Inactive,97
61,Male,191,74,94,3,0,Widowed,3,56525,Very Active,133
73,Male,164,68,98,2,0,Married,4,25112,Very Active,123
18,Female,120,68,96,1,26,Married,2,24933,Inactive,125
43,Female,120,64,108,2,0,Married,3,55780,Active,207
39,Male,166,73,100,0,0,Cohabiting,2,55433,Inactive,148
41,Female,108,65,96,1,0,Cohabiting,3,56638,Active,230
64,Female,113,63,107,0,36,Married,1,57069,Active,133
64,Male,148,73,93,2,0,Married,1,56631,Active,120
40,Male,164,74,94,2,0,Married,1,57067,Inactive,116
39,Female,103,65,100,2,0,Married,4,54058,Inactive,166
52,Female,106,64,102,1,0,Single,0,54087,Inactive,139
77,Female,129,65,90,1,0,Cohabiting,4,24930,Inactive,100
30,Female,121,71,95,2,0,Married,3,53475,Inactive,157
73,Female,141,68,118,1,0,Married,1,24904,Inactive,83
41,Female,129,67,105,0,0,Cohabiting,3,53603,Inactive,163
59,Female,135,65,105,0,33,Married,1,55577,Inactive,105
33,Female,130,66,90,0,31,Widowed,0,54550,Very Active,212
43,Female,116,64,93,1,0,Single,1,55308,Inactive,154
